goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1284699	       929.8 ns/op	     825 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1283766	       915.1 ns/op	     824 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1280835	       914.2 ns/op	     823 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_16_Shard-10     	 1304859	       911.5 ns/op	     826 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1460632	       830.7 ns/op	     814 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1481176	       795.8 ns/op	     815 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1445328	       827.6 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1453794	       823.2 ns/op	     813 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1462759	       827.3 ns/op	     813 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1458805	       831.9 ns/op	     813 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1445245	       829.8 ns/op	     815 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1436368	       820.7 ns/op	     807 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1498088	       822.9 ns/op	     812 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_32_Shard-10     	 1457305	       822.2 ns/op	     809 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1584192	       757.4 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1577409	       761.9 ns/op	     809 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1584640	       759.9 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1567378	       761.6 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1593690	       758.7 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1583995	       757.3 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1582364	       764.5 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1576030	       754.1 ns/op	     808 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1554147	       756.1 ns/op	     808 B/op	      15 allocs/op
BenchmarkMultiGetSetDifferent_256_Shard-10    	 1570051	       752.2 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1791478	       663.3 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1931144	       643.8 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1937334	       627.6 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1902736	       644.6 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1810983	       646.4 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1759252	       659.2 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1819098	       667.7 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1829517	       653.8 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1936304	       640.0 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlockSyncMap-10           	 1927086	       657.4 ns/op	     864 B/op	      32 allocs/op
BenchmarkMultiGetSetBlock_1_Shard-10          	 2404558	       505.8 ns/op	     304 B/op	      12 allocs/op
BenchmarkMultiGetSetBlock_1_Shard-10          	 2415782	       521.1 ns/op	     304 B/op	      12 allocs/op
